End of Month,Retired_Worker_Total_Amount,Retired_Worker_Total_Average_Amount,Retired_Worker_Male_Number,Retired_Worker_Male_Average_Amount,Retired_Worker_Male_Female_Number,Retired_Worker_Female_Average_Amount,Spouse_of_Retired_Worker_Total_Number,Spouse_of_Retired_Worker_Total_Average_Amount,Spouse_of_Retired_Worker_Male_Number,Spouse_of_Retired_Worker_Male_Average_Amount,Spouse_of_Retired_Worker_Female_Number,Spouse_of_Retired_Worker_Female_Average_Amount,Child_Of_Retired_Worker_Total_Number,Child_Of_Retired_Worker_Total_Average_Amount,Child_Of_Retired_Worker_Minor_Number,Child_Of_Retired_Worker_Minor_Average_Amount,Child_Of_Retired_Worker_Disabled_Number,Child_Of_Retired_Worker_Disabled_Average_Amount,Child_Of_Retired_Worker_Student_Number,Child_Of_Retired_Worker_Student_Average_Amount,Child_Of_Deceased_Worker_Total_Number,Child_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Deceased_Worker_Minor_Number,Child_Of_Deceased_Worker_Minor_Average_Amount,Child_Of_Deceased_Worker_Disabled_Number,Child_Of_Deceased_Worker_Disabled_Average_Amount,Child_Of_Deceased_Worker_Student_Number,Child_Of_Deceased_Worker_Student_Average_Amount,Child_Of_Aged_Widower_Total_Number,Child_Of_Aged_Widower_Total_Average_Amount,Child_Of_Aged_Widower_Male_Number,Child_Of_Aged_Widower_Male_Average_Amount,Child_Of_Aged_Widower_Female_Number,Child_Of_Aged_Widower_Female_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Total_Number,Child_Of_Young_Widower_With_Child_In_Care_Total_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Male_Number,Child_Of_Young_Widower_With_Child_In_Care_Male_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Female_Number,Child_Of_Young_Widower_With_Child_In_Care_Female_Average_Amount,Child_Of_Disabled_Widower_Total_Number,Child_Of_Disabled_Widower_Total_Average_Amount,Child_Of_Disabled_Widower_Male_Number,Child_Of_Disabled_Widower_Male_Average_Amount,Child_Of_Disabled_Widower_Female_Number,Child_Of_Disabled_Widower_Female_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Total_Number,Child_Of_Parent_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Male_Number,Child_Of_Parent_Of_Deceased_Worker_Male_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Female_Number,Child_Of_Parent_Of_Deceased_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Male_Number,Child_Of_Disabled_Worker_Male_Average_Amount,Child_Of_Disabled_Worker_Female_Number,Child_Of_Disabled_Worker_Female_Average_Amount,Spouse_Of_Disabled_Worker_Total_Number,Spouse_Of_Disabled_Worker_Total_Average_Amount,Spouse_Of_Disabled_Worker_Male_Number,Spouse_Of_Disabled_Worker_Male_Average_Amount,Spouse_Of_Disabled_Worker_Female_Number,Spouse_Of_Disabled_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Minor_Number,Child_Of_Disabled_Worker_Minor_Average_Amount,Child_Of_Disabled_Worker_Disabled_Number,Child_Of_Disabled_Worker_Disabled_Average_Amount,Child_Of_Disabled_Worker_Student_Number,Child_Of_Disabled_Worker_Student_Average_Amount,,,,,,,,,,,
Nov-67,"11,972,344",$85.31 ,"7,138,104",$94.43 ,"4,834,240",$71.85 ,"2,642,128",$44.22 ,"9,698",$42.80 ,"2,632,430",$44.23 ,"510,435",$33.29 ,"347,173",$28.57 ,"93,316",$41.65 ,"69,946",$45.62 ,"2,329,666",$62.45 ,"1,917,937",$60.91 ,"123,295",$63.22 ,"288,434",$72.35 ,"2,750,425",$74.88 ,"2,821",$70.96 ,"2,747,604",$74.88 ,"491,640",$65.74 ,0,0,"491,640",$65.74 ,0,0,0,0,0,0,"33,611",$77.14 ,"2,045",$68.57 ,"31,566",$77.70 ,"1,180,625",$98.38 ,"863,105",$103.08 ,"317,520",$85.63 ,"231,044",$34.26 ,525,$30.63 ,"230,519",$34.26 ,"699,447",$31.36 ,"640,121",$30.27 ,"11,439",$41.13 ,"47,887",$43.72 ,,,,,,,,,,,
Dec-67,"12,019,371",$85.37 ,"7,160,800",$94.49 ,"4,858,571",$71.92 ,"2,645,158",$44.24 ,"9,655",$42.82 ,"2,635,503",$44.24 ,"513,879",$33.38 ,"346,945",$28.57 ,"93,687",$41.68 ,"73,247",$45.55 ,"2,359,520",$62.54 ,"1,932,764",$60.96 ,"124,520",$63.31 ,"302,236",$72.33 ,"2,769,833",$74.99 ,"2,820",$71.09 ,"2,767,013",$74.99 ,"496,462",$65.84 ,0,0,"496,462",$65.84 ,0,0,0,0,0,0,"33,516",$77.21 ,"2,026",$68.65 ,"31,490",$77.76 ,"1,193,559",$98.42 ,"872,688",$103.12 ,"320,871",$85.63 ,"234,720",$34.27 ,525,$30.73 ,"234,195",$34.27 ,"712,880",$31.38 ,"650,560",$30.25 ,"11,483",$41.11 ,"50,837",$43.61 ,,,,,,,,,,,
Jan-68,"11,614,392",$84.66 ,"6,881,996",$93.77 ,"4,732,396",$71.42 ,"2,550,990",$43.83 ,"9,196",$42.73 ,"2,541,794",$43.83 ,"510,914",$33.30 ,"344,281",$28.54 ,"92,674",$41.59 ,"73,959",$45.10 ,"2,362,638",$62.63 ,"1,925,616",$61.03 ,"125,146",$63.32 ,"311,876",$72.26 ,"2,780,207",$75.05 ,"2,829",$71.19 ,"2,777,378",$75.05 ,"495,176",$65.92 ,0,0,"495,176",$65.92 ,0,0,0,0,0,0,"33,369",$77.24 ,"2,006",$68.64 ,"31,363",$77.79 ,"1,202,115",$98.45 ,"877,390",$103.20 ,"324,725",$85.64 ,"236,025",$34.27 ,536,$30.63 ,"235,489",$34.27 ,"719,429",$31.40 ,"652,848",$30.22 ,"11,718",$41.03 ,"54,863",$43.38 ,,,,,,,,,,,
Feb-68,"12,179,295",$98.25 ,"7,259,892",$108.31 ,"4,919,403",$83.41 ,"2,664,271",$51.01 ,"9,624",$48.98 ,"2,654,647",$51.02 ,"522,181",$38.32 ,"348,160",$32.76 ,"94,465",$47.61 ,"79,556",$51.66 ,"2,385,101",$71.13 ,"1,936,235",$69.25 ,"126,317",$72.55 ,"322,549",$81.89 ,"2,804,823",$85.79 ,"2,856",$81.35 ,"2,801,967",$85.79 ,"498,522",$74.63 ,0,0,"498,522",$74.63 ,0,0,0,0,0,0,"33,166",$87.66 ,"1,991",$78.00 ,"31,175",$88.28 ,"1,212,605",$111.58 ,"885,233",$116.91 ,"327,372",$97.17 ,"232,503",$39.55 ,414,$43.18 ,"232,089",$39.54 ,"732,495",$35.57 ,"661,944",$34.20 ,"11,893",$46.46 ,"58,658",$48.83 ,,,,,,,,,,,
Mar-68,"12,085,503",$98.20 ,"7,192,454",$108.27 ,"4,893,049",$83.39 ,"2,634,725",$51.01 ,"9,409",$49.04 ,"2,625,316",$51.01 ,"519,615",$38.30 ,"345,470",$32.68 ,"93,600",$47.67 ,"80,545",$51.52 ,"2,392,147",$71.16 ,"1,937,927",$69.26 ,"126,700",$72.66 ,"327,520",$81.82 ,"2,800,629",$85.84 ,"2,844",$81.46 ,"2,797,785",$85.85 ,"492,715",$74.61 ,0,0,"492,715",$74.61 ,11,$80.93 ,0,0,11,$80.93 ,"32,777",$87.73 ,"1,944",$77.82 ,"30,833",$88.35 ,"1,217,741",$111.55 ,"888,239",$116.91 ,"329,502",$97.11 ,"241,725",$38.55 ,489,$38.07 ,"241,236",$38.55 ,"746,690",$35.26 ,"674,179",$33.87 ,"11,900",$46.43 ,"60,611",$48.52 ,,,,,,,,,,,
Apr-68,"12,095,524",$98.22 ,"7,189,793",$108.33 ,"4,905,731",$83.41 ,"2,634,066",$51.01 ,"9,299",$49.07 ,"2,624,767",$51.01 ,"520,151",$38.14 ,"344,647",$32.51 ,"93,490",$47.56 ,"82,014",$51.08 ,"2,423,229",$71.02 ,"1,959,804",$69.10 ,"128,153",$72.71 ,"335,272",$81.58 ,"2,811,289",$85.92 ,"2,825",$81.63 ,"2,808,464",$85.93 ,"492,793",$74.39 ,0,0,"492,793",$74.39 ,513,$75.19 ,2,$90.25 ,511,$75.13 ,"32,634",$87.79 ,"1,929",$77.78 ,"30,705",$88.42 ,"1,228,513",$111.58 ,"895,314",$116.96 ,"333,199",$97.14 ,"242,243",$38.51 ,481,$38.29 ,"241,762",$38.51 ,"753,446",$35.19 ,"678,861",$33.78 ,"11,991",$46.39 ,"62,594",$48.28 ,,,,,,,,,,,
May-68,"12,133,912",$98.26 ,"7,202,081",$108.38 ,"4,931,831",$83.48 ,"2,634,421",$51.01 ,"9,334",$49.07 ,"2,625,087",$51.02 ,"523,353",$38.13 ,"346,011",$32.49 ,"93,710",$47.62 ,"83,632",$50.87 ,"2,443,306",$70.90 ,"1,972,992",$68.96 ,"129,087",$72.73 ,"341,227",$81.38 ,"2,824,744",$85.99 ,"2,865",$81.73 ,"2,821,879",$85.99 ,"492,318",$74.32 ,0,0,"492,318",$74.32 ,"2,456",$75.82 ,5,$68.82 ,"2,451",$75.84 ,"32,581",$87.84 ,"1,910",$77.76 ,"30,671",$88.47 ,"1,233,867",$111.58 ,"898,717",$116.97 ,"335,150",$97.14 ,"241,915",$38.38 ,486,$37.54 ,"241,429",$38.38 ,"761,115",$35.09 ,"684,899",$33.68 ,"12,072",$46.34 ,"64,144",$48.00 ,,,,,,,,,,,
Jun-68,"12,188,476",$98.33 ,"7,224,321",$108.45 ,"4,964,155",$83.59 ,"2,635,481",$51.03 ,"9,319",$49.06 ,"2,626,162",$51.04 ,"521,536",$38.17 ,"346,060",$32.53 ,"93,762",$47.70 ,"81,714",$51.16 ,"2,446,681",$70.90 ,"1,980,361",$68.97 ,"129,727",$72.79 ,"336,593",$81.52 ,"2,838,268",$86.07 ,"2,880",$81.79 ,"2,835,388",$86.07 ,"493,789",$74.47 ,0,0,"493,789",$74.47 ,"4,885",$75.86 ,12,$78.58 ,"4,873",$75.85 ,"32,364",$87.91 ,"1,878",$77.60 ,"30,486",$88.55 ,"1,245,154",$111.63 ,"906,976",$117.01 ,"338,178",$97.18 ,"244,476",$38.34 ,499,$37.17 ,"243,977",$38.34 ,"768,163",$35.04 ,"692,379",$33.64 ,"12,184",$46.40 ,"63,600",$48.12 ,,,,,,,,,,,
Jul-68,"12,234,228",$98.41 ,"7,239,633",$108.53 ,"4,994,595",$83.75 ,"2,638,002",$51.05 ,"9,349",$49.15 ,"2,628,653",$51.06 ,"519,340",$38.06 ,"347,366",$32.50 ,"94,026",$47.72 ,"77,948",$51.15 ,"2,448,880",$70.83 ,"1,996,612",$68.97 ,"130,639",$72.83 ,"321,629",$81.62 ,"2,854,326",$86.13 ,"2,884",$81.80 ,"2,851,442",$86.14 ,"498,092",$74.69 ,0,0,"498,092",$74.69 ,"8,249",$74.75 ,27,$70.66 ,"8,222",$74.76 ,"32,248",$87.96 ,"1,872",$77.66 ,"30,376",$88.59 ,"1,258,402",$111.68 ,"916,499",$117.08 ,"341,903",$97.21 ,"247,785",$38.37 ,505,$36.71 ,"247,280",$38.37 ,"771,989",$34.95 ,"699,867",$33.63 ,"12,263",$46.38 ,"59,859",$48.03 ,,,,,,,,,,,
Aug-68,"12,154,067",$98.57 ,"7,183,273",$108.67 ,"4,970,794",$83.99 ,"2,616,150",$51.04 ,"9,200",$49.36 ,"2,606,950",$51.04 ,"514,416",$38.07 ,"346,321",$32.53 ,"94,083",$47.79 ,"74,012",$51.62 ,"2,440,814",$70.80 ,"2,002,166",$68.96 ,"131,632",$72.88 ,"307,016",$81.94 ,"2,871,657",$86.25 ,"2,873",$81.84 ,"2,868,784",$86.25 ,"501,820",$74.92 ,0,0,"501,820",$74.92 ,"11,648",$74.34 ,37,$73.41 ,"11,611",$74.34 ,"32,122",$87.99 ,"1,856",$77.79 ,"30,266",$88.62 ,"1,265,921",$111.71 ,"920,965",$117.14 ,"344,956",$97.21 ,"247,952",$38.38 ,512,$36.75 ,"247,440",$38.38 ,"765,150",$34.87 ,"698,775",$33.61 ,"12,423",$46.38 ,"53,952",$48.53 ,,,,,,,,,,,
Sep-68,"12,335,002",$98.60 ,"7,276,499",$108.73 ,"5,058,503",$84.02 ,"2,643,387",$51.10 ,"9,326",$49.33 ,"2,634,061",$51.11 ,"517,868",$38.15 ,"347,772",$32.58 ,"94,898",$47.86 ,"75,198",$51.68 ,"2,454,942",$70.78 ,"2,012,047",$68.92 ,"132,372",$72.91 ,"310,523",$81.94 ,"2,885,586",$86.31 ,"2,898",$81.86 ,"2,882,688",$86.32 ,"504,177",$74.92 ,0,0,"504,177",$74.92 ,"14,885",$73.63 ,48,$72.95 ,"14,837",$73.64 ,"32,017",$88.05 ,"1,835",$77.84 ,"30,182",$88.67 ,"1,273,810",$111.75 ,"926,418",$117.20 ,"347,392",$97.19 ,"250,006",$38.33 ,516,$36.73 ,"249,490",$38.33 ,"772,800",$34.83 ,"704,868",$33.55 ,"12,500",$46.36 ,"55,432",$48.48 ,,,,,,,,,,,
Oct-68,"12,237,501",$98.59 ,"7,207,110",$108.82 ,"5,030,391",$83.93 ,"2,618,134",$51.12 ,"9,083",$49.27 ,"2,609,051",$51.12 ,"518,977",$38.19 ,"347,433",$32.60 ,"95,271",$47.90 ,"76,273",$51.55 ,"2,467,903",$70.79 ,"2,018,049",$68.91 ,"133,294",$72.98 ,"316,560",$81.90 ,"2,885,064",$86.37 ,"2,910",$81.93 ,"2,882,154",$86.37 ,"503,136",$74.89 ,0,0,"503,136",$74.89 ,"17,522",$72.87 ,57,$71.98 ,"17,465",$72.87 ,"31,844",$88.10 ,"1,815",$77.74 ,"30,029",$88.72 ,"1,281,536",$111.81 ,"931,360",$117.29 ,"350,176",$97.21 ,"250,942",$38.31 ,516,$36.50 ,"250,426",$38.31 ,"776,669",$34.81 ,"707,155",$33.52 ,"12,528",$46.38 ,"56,986",$48.34 ,,,,,,,,,,,
Nov-68,"12,324,936",$98.75 ,"7,256,732",$108.96 ,"5,068,204",$84.14 ,"2,634,091",$51.16 ,"9,173",$49.30 ,"2,624,918",$51.17 ,"518,253",$38.23 ,"345,813",$32.59 ,"95,102",$47.93 ,"77,338",$51.53 ,"2,480,545",$70.82 ,"2,025,114",$68.92 ,"134,036",$73.02 ,"321,395",$81.87 ,"2,904,062",$86.44 ,"2,914",$81.98 ,"2,901,148",$86.44 ,"504,475",$74.90 ,0,0,"504,475",$74.90 ,"19,753",$72.52 ,63,$72.59 ,"19,690",$72.52 ,"31,765",$88.16 ,"1,815",$77.79 ,"29,950",$88.78 ,"1,291,339",$111.84 ,"937,649",$117.36 ,"353,690",$97.19 ,"252,946",$38.27 ,517,$36.46 ,"252,429",$38.27 ,"784,953",$34.80 ,"712,504",$33.47 ,"12,724",$46.33 ,"59,725",$48.20 ,,,,,,,,,,,
